lat,lon
51.366569,-0.789741
51.597845,-3.049542
51.743911,-0.472427
51.135692,0.266494
51.511447,-0.142561
53.258304,-2.557756
52.029745,-0.939932
51.584948,-2.981407
51.517732,-0.114343
53.978235,-1.065381
53.544252,-2.109534
52.942204,-1.46585
51.622144,-0.77049
53.476557,-2.293523
52.232933,-0.912696
51.265167,-2.286316
54.010715,-1.47102
51.377125,-0.811736
51.460725,-0.974799
51.475193,-0.410862
52.663899,-2.683584
55.769058,-4.093925
51.433568,0.238002
51.147151,-3.072718
53.899384,-1.345563
51.578708,0.134595
55.539435,-5.120747
56.106529,-3.162407
51.017354,0.982833
50.971994,-1.365385
55.752529,-4.633837
51.897868,0.787296
52.322442,-2.073505
55.838839,-4.554904
51.440463,-0.10734
54.642277,-1.239109
52.326521,-0.609072
53.447838,-1.398445
52.147849,-3.402347
51.550209,0.646887
53.394275,-2.967487
53.99255,-1.538606
52.803099,-2.128901
54.303021,-2.193944
51.279758,-0.274101
51.596166,-1.766181
54.963164,-2.773974
55.834337,-4.416766
51.361998,1.135667
53.694488,-1.292845
53.609963,-2.390787
54.471967,-6.348116
52.775089,-1.201559
52.342794,0.153045
54.911991,-2.934652
51.415205,-0.053734
54.559268,-1.149652
55.015511,-1.583303
53.361712,-1.496579
53.802205,-1.755861
51.880693,-5.139561
54.611614,-5.937258
51.515694,-0.119601
50.263498,-5.048722
51.51557,-3.230966
51.715453,0.506392
54.571418,-1.321218
51.45843,-2.574179
55.618216,-3.527226
51.496429,-0.137437
51.538689,-0.004792
51.402452,-0.053082
51.893419,-3.242647
51.61453,-3.965475
51.415934,-0.304974
52.502765,-0.706116
51.473776,-0.096544
52.604258,-3.18868
51.508043,0.007271
52.523889,-1.834705
51.203126,0.426047
53.508735,-2.385437
53.848932,-1.513449
52.473343,-1.930233
56.781263,-2.514829
53.765067,-2.418941
54.168236,-2.822405
52.454738,-2.353309
51.372705,-0.461259
51.925462,-3.290224
50.53062,-3.614017
57.142355,-2.173338
53.414985,-1.42423
51.201233,-0.481628
51.873614,0.350805
51.455473,-0.372152
55.621228,-3.064442
53.095321,-2.428292
50.21307,-5.288214
51.647531,-0.411781
51.529479,-0.395652
53.050889,-3.05615
55.64976,-4.74744
52.591127,-2.09716
51.47827,-2.632573
53.40871,-1.362141
51.249132,-0.15689
51.405892,-2.686062
0,0
51.931608,-0.379285
50.779635,-3.240428
51.597038,-0.26545
50.735349,-1.734835
54.151227,-6.17791
51.521585,0.009914
51.495488,-0.2205
54.575865,-1.244956
55.850158,-4.379115
51.404923,-0.719003
53.184089,-4.208816
53.835753,-2.817455
51.644689,-0.113893
52.997236,-1.198362
51.890671,-0.371007
53.314577,-3.811688
50.18104,-5.441915
51.566221,-0.059297
52.209345,0.148231
54.909863,-2.705518
53.401684,-3.10695
51.37233,-0.289622
51.658336,-0.039012
53.054259,-2.205604
50.98227,-1.388537
50.349613,-3.996715
52.192102,1.167843
50.971818,0.099936
52.490726,-1.709276
51.388824,-0.744431
56.026436,-5.421194
52.015632,1.086815
53.115552,-2.173984
50.977023,-3.251025
57.584109,-3.845652
53.474643,-2.121695
54.955716,-1.642384
53.541681,-2.768468
51.081521,1.122621
54.570463,-1.294647
53.504761,-1.482719
54.036044,-1.040058
51.55807,0.072373
51.867164,-2.239658
53.380031,-3.014684
52.652022,-0.480946
50.992098,-0.092763
53.453283,-2.229394
50.690913,-1.290928
52.061525,-1.327429
53.098545,-2.44877
53.690909,-1.528189
56.004078,-3.778714
55.855084,-4.508016
51.069353,-2.370838
51.64003,0.045685
51.372857,-0.810251
50.794401,-1.068246
51.427868,-0.564995
51.183299,0.259284
53.286544,-3.732567
53.463356,-2.090274
52.902435,-1.287606
51.399203,-0.835213
55.848952,-4.150811
55.860898,-4.263878
52.860298,-3.042024
52.258165,-1.156472
55.624418,-3.520622
50.911131,-1.404261
51.522435,-0.149912
51.55106,0.074764
50.81199,-0.447853
52.799387,-1.605848
52.218542,-1.427041
55.868289,-4.278821
50.99855,0.848314
51.160132,0.552961
52.477589,-1.877826
51.463202,-0.979365
53.48559,-0.987862
52.166965,-1.448129
52.245347,-1.353098
51.559761,0.009288
55.842498,-4.213675
53.450623,-2.741917
53.86931,-2.469864
51.277413,-1.086525
50.725772,-1.892275
51.179551,1.109668
51.190439,-0.595908
51.524783,-0.191478
53.447248,-1.295526
51.518722,-0.14656
51.556089,-1.774002
54.52076,-1.521351
51.463503,-2.556653
53.479274,-2.244557
54.002427,-1.522386
51.581628,-1.740913
54.562449,-5.980467
51.513482,-0.15186
51.624153,0.042862
53.379222,-1.516125
53.461397,-2.773674
53.948328,-1.120863
51.499641,-0.140966
51.287592,-0.782929
54.223383,-0.914789
50.95104,-2.62654
53.139834,-4.267255
55.775317,-4.438687
53.154679,-1.187119
53.501286,-2.190999
51.516937,-0.094673
51.57734,-0.364576
50.790881,-3.658298
51.205197,-0.692256
51.652754,-0.275222
53.213832,-0.464066
53.18863,-1.619711
53.827208,-1.456819
51.885857,-2.88582
53.570026,-0.064138
51.559266,-0.223089
53.963692,-1.079309
52.449601,-1.76802
51.48384,-2.438969
51.643827,-2.673607
54.048151,-2.803827
53.832697,-1.802437
53.388873,-1.441362
51.263797,1.250896
53.093643,-2.458798
52.255082,-0.802614
54.568303,-1.227743
53.563107,-0.626424
54.452125,-6.345816
52.768586,-1.204953
51.905654,-2.08205
51.250736,-1.090292
52.803144,-1.378555
52.190542,0.129957
52.965436,-1.136089
51.284118,-0.964052
54.309705,-7.41236
53.055721,-0.494523
51.404778,-0.292849
51.537815,-3.673311
56.13338,-3.814628
52.944269,-1.504724
51.507577,-0.141781
55.095644,-1.611475
51.464192,-3.167451
52.256771,-0.073835
51.033106,-2.946541
53.134997,-1.152842
52.522406,1.505484
51.245291,-0.582318
51.510743,-0.021995
53.70535,-1.864218
53.509583,-2.21661
51.566371,0.05444
51.403615,-2.578078
57.372512,-2.089839
53.830844,-2.600253
51.76123,-0.501866
51.51327,-3.161111
50.676279,-1.337607
50.834529,-0.38824
51.596124,-1.137
50.988315,-0.09299
